DATE,NGDPRSAXDCCAQ,DEXCAUS,CPALTT01CAM659N,MAM2A2CAM189S,IRLTLT01CAM156N
1971-10-01,161542.0,1.00245806451612903226,4.2564153333333335,38440000000.00000000,6.6733333333333333
1972-01-01,161001.5,1.00286562500000000000,5.0486213333333333,39520666666.66666667,6.8666666666666667
1972-04-01,165565.796875,0.98782656250000000000,4.6629196666666670,40557333333.33333333,7.3466666666666667
1972-07-01,166057.0,0.98308730158730158730,5.0553633333333335,41777333333.33333333,7.4733333333333333
1972-10-01,169957.5,0.98895500000000000000,5.1805590000000003,43325000000.00000000,7.2133333333333333
1973-01-01,174319.5,0.99730000000000000000,5.7365146666666663,44756666666.66666667,7.2000000000000000
1973-04-01,175982.5,0.99996875000000000000,7.0660519999999997,46335000000.00000000,7.5600000000000000
1973-07-01,176800.796875,1.00377301587301587302,7.9690436666666660,48350333333.33333333,7.7900000000000000
1973-10-01,180061.796875,0.99988852459016393443,9.1040736666666670,50932333333.33333333,7.5633333333333333
1974-01-01,181552.0,0.98040819672131147541,9.6762936666666667,53694333333.33333333,7.7966666666666667
1974-04-01,183414.296875,0.96538906250000000000,11.0443666666666670,56816000000.00000000,8.9066666666666667
1974-07-01,183449.5,0.98069687500000000000,11.0023700000000003,59114333333.33333333,9.7166666666666667
1974-10-01,182493.796875,0.98609508196721311475,12.1739266666666667,60532000000.00000000,9.0600000000000000
1975-01-01,181499.5,0.99839836065573770492,11.6333966666666667,62750333333.33333333,8.2933333333333333
1975-04-01,183828.0,1.0218390625000000,10.4690200000000000,64982666666.66666667,8.7800000000000000
1975-07-01,187354.796875,1.0308640625000000,10.7922133333333333,67100666666.66666667,9.3900000000000000
1975-10-01,189522.796875,1.0179295081967213,9.8799330000000000,69369333333.33333333,9.5100000000000000
1976-01-01,192825.5,0.99507741935483870968,9.4624396666666663,71019333333.33333333,9.3833333333333333
1976-04-01,196983.796875,0.97909531250000000000,8.4241376666666667,73965666666.66666667,9.3266666666666667
1976-07-01,197893.296875,0.97768125000000000000,6.5707983333333330,76886000000.00000000,9.2700000000000000
1976-10-01,198213.0,0.99367096774193548387,5.8842726666666667,80058000000.00000000,8.9366666666666667
1977-01-01,201253.296875,1.0305428571428571,6.5632256666666660,83087333333.33333333,8.6100000000000000
1977-04-01,202280.296875,1.0526671875000000,7.7665046666666667,86068000000.00000000,8.7833333333333333
1977-07-01,203469.296875,1.0702793650793651,8.3949486666666667,88441000000.00000000,8.6533333333333333
1977-10-01,206693.5,1.1016466666666667,9.1188976666666667,91254333333.33333333,8.7266666666666667
1978-01-01,208478.5,1.1137709677419355,9.0356443333333337,93858666666.66666667,9.0833333333333333
1978-04-01,209897.5,1.1269265625000000,8.8070713333333337,96445666666.66666667,9.2066666666666667
1978-07-01,211855.5,1.1436396825396825,9.2178576666666667,99578000000.00000000,9.1600000000000000
1978-10-01,213864.296875,1.1786327868852459,8.8384043333333330,103866333333.33333333,9.4933333333333333
1979-01-01,215570.5,1.1859048387096774,8.9434180000000003,107239333333.33333333,9.8866666666666667
1979-04-01,218430.296875,1.1580921875000000,9.3864403333333333,111287333333.33333333,9.7533333333333333
1979-07-01,220031.5,1.1667746031746032,8.7975439999999997,116481666666.66666667,10.0200000000000000
1979-10-01,221507.796875,1.1749491803278689,9.4429650000000000,122259666666.66666667,11.0566666666666667
1980-01-01,223045.796875,1.1644887096774194,9.5091826666666663,128107666666.66666667,12.5066666666666667
1980-04-01,222948.296875,1.1708531250000000,9.5017550000000003,133182333333.33333333,11.7466666666666667
1980-07-01,222763.0,1.1586578125000000,10.4778230000000003,137988333333.33333333,12.1900000000000000
1980-10-01,225845.296875,1.1839065573770492,10.9668366666666670,144394666666.66666667,12.9100000000000000
1981-01-01,230710.796875,1.1933032786885246,12.3112533333333337,148427666666.66666667,13.1633333333333333
1981-04-01,233233.296875,1.1986171875000000,12.5185500000000003,154088666666.66666667,14.7833333333333333
1981-07-01,231136.296875,1.2115492307692308,12.6968533333333333,160565333333.33333333,16.4466666666666667
1981-10-01,230073.296875,1.1918344262295082,12.3568166666666673,162245000000.00000000,15.5633333333333333
1982-01-01,227440.296875,1.2094278688524590,11.3837933333333333,164896333333.33333333,15.4766666666666667
1982-04-01,224821.796875,1.2451562500000000,11.5366466666666670,168533333333.33333333,15.1966666666666667
1982-07-01,222828.0,1.2499046875000000,10.6050766666666663,170314666666.66666667,15.0169999999999993
1982-10-01,220771.796875,1.2320064516129032,9.6390896666666667,172629666666.66666667,12.0510000000000000
1983-01-01,224379.796875,1.2275222222222222,7.7010086666666667,176544333333.33333333,11.3278333333333333
1983-04-01,228806.296875,1.2313359375000000,5.8802276666666667,178405000000.00000000,10.9411666666666667
1983-07-01,231376.796875,1.2329234375000000,5.3332160000000000,181536666666.66666667,11.7091666666666667
1983-10-01,234253.296875,1.2386933333333333,4.6613190000000000,183461666666.66666667,11.6161666666666660
1984-01-01,238310.5,1.2558677419354839,5.1580300000000000,185300000000.00000000,12.1440000000000000
1984-04-01,242935.296875,1.2926781250000000,4.6255423333333333,189162000000.00000000,13.5141666666666667
1984-07-01,243979.796875,1.3135904761904762,3.8116573333333332,193199333333.33333333,13.1365000000000000
1984-10-01,247787.5,1.3186688524590164,3.6640066666666665,197060000000.00000000,12.0455000000000000
1985-01-01,251594.5,1.3542216666666667,3.6209816666666666,202207000000.00000000,11.8069999999999997
1985-04-01,252403.796875,1.3697187500000000,3.9779393333333335,207132000000.00000000,11.0446666666666673
1985-07-01,255608.0,1.3598281250000000,4.1095913333333337,212500333333.33333333,10.6605000000000003
1985-10-01,259505.0,1.3794387096774194,4.1326139999999999,218360333333.33333333,10.1351666666666667
1986-01-01,259373.5,1.4040508196721311,4.3012149999999998,221734333333.33333333,9.8040000000000000
1986-04-01,260864.296875,1.3845531250000000,3.9320846666666669,228093000000.00000000,8.9668333333333330
1986-07-01,261192.296875,1.3854625000000000,4.1579246666666665,234314000000.00000000,8.8998333333333333
1986-10-01,259301.5,1.3848741935483871,4.3867133333333335,241764666666.66666667,8.9115000000000000
1987-01-01,265295.0,1.3374409836065574,4.0206590000000000,251599000000.00000000,8.3566666666666667
1987-04-01,268693.5,1.3327328125000000,4.6522460000000000,258673333333.33333333,9.2510000000000000
1987-07-01,272798.8125,1.3225353846153846,4.5477540000000003,264297666666.66666667,10.1303333333333337
1987-10-01,276323.0,1.3110709677419355,4.2021283333333333,265935666666.66666667,10.1448333333333333
1988-01-01,280349.0,1.2664709677419355,4.1126780000000003,269937666666.66666667,9.4456666666666667
1988-04-01,282836.8125,1.2298843750000000,3.9570633333333332,277830666666.66666667,9.7856666666666670
1988-07-01,282878.8125,1.2196062500000000,3.9632456666666668,288010333333.33333333,10.0973333333333333
1988-10-01,284820.0,1.2066114754098361,4.0811156666666667,297297333333.33333333,9.9950000000000000
1989-01-01,288111.0,1.1921500000000000,4.4736816666666668,306211000000.00000000,10.3152748917749007
1989-04-01,289231.8125,1.1934171875000000,4.9332100000000000,316319000000.00000000,9.8863939393939397
1989-07-01,290276.0,1.1822507936507937,5.2998670000000003,327596000000.00000000,9.4073030303030300
1989-10-01,289698.3125,1.1687790322580645,5.2121366666666668,338811333333.33333333,9.5200413533834597
1990-01-01,292484.3125,1.1823483870967742,5.4218190000000000,349045666666.66666667,10.3088787878787900
1990-04-01,291310.8125,1.1706781250000000,4.6143393333333333,355255333333.33333333,11.1345000000000000
1990-07-01,289223.0,1.1529619047619048,4.1500566666666667,360565333333.33333333,10.7795864661653997
1990-10-01,286647.8125,1.1612161290322581,4.9537830000000000,368485000000.00000000,10.6853451811346673
1991-01-01,282524.0,1.1560655737704918,6.4404013333333337,375870000000.00000000,9.7627878787878667
1991-04-01,283880.0,1.1492500000000000,6.2070930000000003,381554000000.00000000,9.6762575757575733
1991-07-01,284256.5,1.1440265625000000,5.8079193333333333,383904000000.00000000,9.7200519480519470
1991-10-01,284756.0,1.1349629032258065,4.0940696666666667,387099666666.66666667,8.6646060606060603
1992-01-01,284957.0,1.1775370967741935,1.5834396666666667,391294333333.33333333,8.4241515151515167
1992-04-01,285281.8125,1.1940312500000000,1.3714116666666666,394626000000.00000000,8.5240692640692633
1992-07-01,286827.0,1.2015846153846154,1.20202033333333330000,398632666666.66666667,7.4982012987012967
1992-10-01,288461.3125,1.2617241935483871,1.8060760000000001,400510333333.33333333,7.7985079365079367
1993-01-01,290292.8125,1.2607754098360656,2.1185506666666667,401075333333.33333333,7.6904710144927530
1993-04-01,292937.0,1.2702750000000000,1.7893633333333334,407362000000.00000000,7.4966753246753262
1993-07-01,295738.5,1.3038843750000000,1.7418846666666666,409060000000.00000000,7.0131746031746003
1993-10-01,297003.5,1.3251111111111111,1.8132986666666668,410793666666.66666667,6.7799603174603167
1994-01-01,301382.8125,1.3424709677419355,0.54869769999999999333,412044666666.66666667,6.8787173913043465
1994-04-01,305782.5,1.3824984375000000,0.00018326666666665667,412333000000.00000000,8.5063708513708500
1994-07-01,309702.8125,1.3716734375000000,0.15562690000000001000,417648000000.00000000,8.9815735930735940
1994-10-01,311952.5,1.3684098360655738,-0.03880526666666665333,421689000000.00000000,9.0928095238095240
1995-01-01,314818.8125,1.4072709677419355,1.5206613666666667,426104333333.33333333,8.9643992408557633
1995-04-01,314952.5,1.3713812500000000,2.6954986666666668,431437000000.00000000,8.1118261562998430
1995-07-01,315368.8125,1.3557476190476190,2.3311403333333334,436559333333.33333333,8.0895303030303033
1995-10-01,316641.5,1.3559516129032258,2.0533373333333334,440487666666.66666667,7.4814118629908102
1996-01-01,317101.0,1.3691322580645161,1.4572740000000001,444111000000.00000000,7.3180663780663765
1996-04-01,319358.5,1.3647125000000000,1.4453603333333333,447407333333.33333333,7.7590685425685433
1996-07-01,322040.8125,1.3704859375000000,1.4047953333333333,447860000000.00000000,7.4520108225108235
1996-10-01,324592.3125,1.3507548387096774,1.9734093333333333,448721000000.00000000,6.3905151515151500
1997-01-01,328941.5,1.3592836065573770,2.1167143333333334,448508000000.00000000,6.4919090909090900
1997-04-01,332643.3125,1.3864000000000000,1.6123870000000000,447966666666.66666667,6.5431024531024505
1997-07-01,336586.8125,1.3849578125000000,1.7222160000000000,446433666666.66666667,5.9446240981241000
1997-10-01,339839.5,1.4086887096774194,1.04266926666666666667,445448333333.33333333,5.5926543631806797
1998-01-01,344638.0,1.4298098360655738,1.03633993333333330000,441429333333.33333333,5.4072496392496402
1998-04-01,344820.5,1.4468843750000000,0.99627100000000003333,439930333333.33333333,5.3393391053391035
1998-07-01,347962.5,1.5135846153846154,0.84657633333333330000,443433333333.33333333,5.3864646464646463
1998-10-01,352677.3125,1.5430354838709677,1.10493273333333333333,447023666666.66666667,4.9831587301587303
1999-01-01,359045.0,1.5119770491803279,0.76911069999999996667,451562333333.33333333,5.0969782608695668
1999-04-01,362006.3125,1.4732671875000000,1.6076320000000001,456109666666.66666667,5.3233109668109667
1999-07-01,367680.5,1.4865375000000000,2.1901033333333334,461128333333.33333333,5.6560317460317470
1999-10-01,372831.5,1.4724063492063492,2.3682263333333334,468340000000.00000000,6.0880873015873002
2000-01-01,378669.0,1.4538730158730159,2.6528426666666666,479650666666.66666667,6.2861107660455497
2000-04-01,383125.8125,1.4809171875000000,2.4447056666666667,489673333333.33333333,6.0115550239234468
2000-07-01,387053.0,1.4823650793650794,2.7144646666666667,496230666666.66666667,5.7864545454545467
2000-10-01,387818.5,1.5257241935483871,3.0605496666666666,501648000000.00000000,5.6175271512113603
